name,area,date,price
Ca phe voi nhan xo,Binh Phuoc,4/22/2013,43000
Ca phe voi nhan xo,Binh Phuoc,4/24/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/2/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/6/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/8/2013,42000
Ca phe voi nhan xo,Binh Phuoc,5/10/2013,42000
Ca phe voi nhan xo,Binh Phuoc,5/13/2013,42000
Ca phe voi nhan xo,Binh Phuoc,5/16/2013,42000
Ca phe voi nhan xo,Binh Phuoc,5/20/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/22/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/24/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/29/2013,43000
Ca phe voi nhan xo,Binh Phuoc,5/31/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/3/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/5/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/7/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/10/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/12/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/14/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/19/2013,43000
Ca phe voi nhan xo,Binh Phuoc,6/24/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/1/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/3/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/5/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/8/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/10/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/12/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/16/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/19/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/22/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/26/2013,40000
Ca phe voi nhan xo,Binh Phuoc,7/31/2013,40000
Ca phe voi nhan xo,Binh Phuoc,8/1/2013,40000
Ca phe voi nhan xo,Binh Phuoc,8/2/2013,40000
Ca phe voi nhan xo,Binh Phuoc,8/7/2013,40000
Ca phe voi nhan xo,Binh Phuoc,8/9/2013,40400
Ca phe voi nhan xo,Binh Phuoc,8/12/2013,40200
Ca phe voi nhan xo,Binh Phuoc,8/14/2013,40200
Ca phe voi nhan xo,Binh Phuoc,8/16/2013,40200
Ca phe voi nhan xo,Binh Phuoc,8/21/2013,40200
Ca phe voi nhan xo,Binh Phuoc,8/23/2013,40200
Ca phe voi nhan xo,Binh Phuoc,10/28/2013,34200
Ca phe voi nhan xo,Binh Phuoc,11/25/2013,29000
Ca phe voi nhan xo,Binh Phuoc,12/2/2013,32000
Ca phe voi nhan xo,Binh Phuoc,1/8/2014,35000
Ca phe voi nhan xo,Binh Phuoc,1/13/2014,35000
Ca phe voi nhan xo,Binh Phuoc,2/12/2014,33000
Ca phe voi nhan xo,Binh Phuoc,2/17/2014,33000
Ca phe voi nhan xo,Binh Phuoc,2/28/2014,32000
Ca phe voi nhan xo,Binh Phuoc,3/7/2014,37500
Ca phe voi nhan xo,Binh Phuoc,3/21/2014,40000
Ca phe voi nhan xo,Binh Phuoc,3/24/2014,40000
Ca phe voi nhan xo,Binh Phuoc,3/28/2014,40000
Ca phe voi nhan xo,Binh Phuoc,4/2/2014,39500
Ca phe voi nhan xo,Binh Phuoc,4/4/2014,39500
Ca phe voi nhan xo,Binh Phuoc,4/7/2014,39500
Ca phe voi nhan xo,Binh Phuoc,4/11/2014,39500
Ca phe voi nhan xo,Binh Phuoc,4/14/2014,39500
Ca phe voi nhan xo,Binh Phuoc,1/5/2016,3400
Ca phe voi nhan xo,Buon Ma Thuat,4/21/2009,24200
Ca phe voi nhan xo,Buon Ma Thuat,4/23/2009,24300
Ca phe voi nhan xo,Buon Ma Thuat,5/19/2009,25000
Ca phe voi nhan xo,Buon Ma Thuat,5/26/2009,25000
Ca phe voi nhan xo,Buon Ma Thuat,6/2/2009,25000
Ca phe voi nhan xo,Buon Ma Thuat,6/23/2009,24500
Ca phe voi nhan xo,Ca Mau,1/15/2016,33500
Ca phe voi nhan xo,Dak Lak,1/2/2007,21600
Ca phe voi nhan xo,Dak Lak,1/3/2007,22000
Ca phe voi nhan xo,Dak Lak,1/4/2007,21700
Ca phe voi nhan xo,Dak Lak,1/5/2007,22000
Ca phe voi nhan xo,Dak Lak,1/8/2007,21700
Ca phe voi nhan xo,Dak Lak,1/9/2007,21700
Ca phe voi nhan xo,Dak Lak,1/10/2007,21200
Ca phe voi nhan xo,Dak Lak,1/11/2007,21200
Ca phe voi nhan xo,Dak Lak,1/12/2007,21500
Ca phe voi nhan xo,Dak Lak,1/15/2007,21500
Ca phe voi nhan xo,Dak Lak,1/16/2007,21600
Ca phe voi nhan xo,Dak Lak,1/17/2007,21800
Ca phe voi nhan xo,Dak Lak,1/18/2007,22000
Ca phe voi nhan xo,Dak Lak,1/19/2007,21700
Ca phe voi nhan xo,Dak Lak,1/22/2007,21800
Ca phe voi nhan xo,Dak Lak,1/23/2007,21700
Ca phe voi nhan xo,Dak Lak,1/24/2007,21400
Ca phe voi nhan xo,Dak Lak,1/25/2007,21800
Ca phe voi nhan xo,Dak Lak,1/26/2007,21900
Ca phe voi nhan xo,Dak Lak,1/29/2007,21800
Ca phe voi nhan xo,Dak Lak,1/30/2007,21800
Ca phe voi nhan xo,Dak Lak,1/31/2007,21900
Ca phe voi nhan xo,Dak Lak,2/1/2007,22100
Ca phe voi nhan xo,Dak Lak,2/2/2007,22000
Ca phe voi nhan xo,Dak Lak,2/5/2007,22100
Ca phe voi nhan xo,Dak Lak,2/6/2007,22100
Ca phe voi nhan xo,Dak Lak,2/7/2007,21000
Ca phe voi nhan xo,Dak Lak,2/8/2007,22200
Ca phe voi nhan xo,Dak Lak,2/9/2007,22100
Ca phe voi nhan xo,Dak Lak,2/12/2007,22200
Ca phe voi nhan xo,Dak Lak,2/14/2007,21700
Ca phe voi nhan xo,Dak Lak,2/15/2007,21300
Ca phe voi nhan xo,Dak Lak,2/26/2007,21700
Ca phe voi nhan xo,Dak Lak,2/27/2007,21600
Ca phe voi nhan xo,Dak Lak,2/28/2007,21700
Ca phe voi nhan xo,Dak Lak,3/1/2007,21600
Ca phe voi nhan xo,Dak Lak,3/2/2007,21500
Ca phe voi nhan xo,Dak Lak,3/5/2007,21200
Ca phe voi nhan xo,Dak Lak,3/7/2007,21000
Ca phe voi nhan xo,Dak Lak,3/8/2007,21000
Ca phe voi nhan xo,Dak Lak,3/9/2007,21300
Ca phe voi nhan xo,Dak Lak,3/12/2007,21700
Ca phe voi nhan xo,Dak Lak,3/13/2007,21700
Ca phe voi nhan xo,Dak Lak,3/14/2007,21500
Ca phe voi nhan xo,Dak Lak,3/15/2007,21300
Ca phe voi nhan xo,Dak Lak,3/16/2007,21600
Ca phe voi nhan xo,Dak Lak,3/19/2007,21700
Ca phe voi nhan xo,Dak Lak,3/20/2007,21800
Ca phe voi nhan xo,Dak Lak,3/21/2007,21700
Ca phe voi nhan xo,Dak Lak,3/22/2007,22100
Ca phe voi nhan xo,Dak Lak,3/23/2007,22000
Ca phe voi nhan xo,Dak Lak,3/26/2007,22400
Ca phe voi nhan xo,Dak Lak,3/27/2007,22400
Ca phe voi nhan xo,Dak Lak,3/28/2007,22200
Ca phe voi nhan xo,Dak Lak,3/29/2007,22400
Ca phe voi nhan xo,Dak Lak,3/30/2007,22300
Ca phe voi nhan xo,Dak Lak,4/2/2007,22000
Ca phe voi nhan xo,Dak Lak,4/3/2007,22000
Ca phe voi nhan xo,Dak Lak,4/4/2007,22300
Ca phe voi nhan xo,Dak Lak,4/5/2007,22300
Ca phe voi nhan xo,Dak Lak,4/6/2007,22500
Ca phe voi nhan xo,Dak Lak,4/9/2007,22600
Ca phe voi nhan xo,Dak Lak,4/10/2007,22600
Ca phe voi nhan xo,Dak Lak,4/11/2007,22500
Ca phe voi nhan xo,Dak Lak,4/12/2007,22700
Ca phe voi nhan xo,Dak Lak,4/13/2007,23100
Ca phe voi nhan xo,Dak Lak,4/16/2007,23100
Ca phe voi nhan xo,Dak Lak,4/17/2007,23000
Ca phe voi nhan xo,Dak Lak,4/18/2007,23200
Ca phe voi nhan xo,Dak Lak,4/19/2007,23300
Ca phe voi nhan xo,Dak Lak,4/23/2007,24000
Ca phe voi nhan xo,Dak Lak,4/24/2007,24200
Ca phe voi nhan xo,Dak Lak,4/25/2007,23500
Ca phe voi nhan xo,Dak Lak,5/2/2007,24000
Ca phe voi nhan xo,Dak Lak,5/3/2007,24400
Ca phe voi nhan xo,Dak Lak,5/4/2007,24300
Ca phe voi nhan xo,Dak Lak,5/7/2007,24600
Ca phe voi nhan xo,Dak Lak,5/8/2007,24800
Ca phe voi nhan xo,Dak Lak,5/9/2007,25000
Ca phe voi nhan xo,Dak Lak,5/10/2007,25200
Ca phe voi nhan xo,Dak Lak,5/11/2007,25300
Ca phe voi nhan xo,Dak Lak,5/14/2007,25300
Ca phe voi nhan xo,Dak Lak,5/15/2007,25600
Ca phe voi nhan xo,Dak Lak,5/16/2007,25500
Ca phe voi nhan xo,Dak Lak,5/17/2007,25900
Ca phe voi nhan xo,Dak Lak,5/18/2007,26200
Ca phe voi nhan xo,Dak Lak,5/21/2007,26400
Ca phe voi nhan xo,Dak Lak,5/23/2007,26400
Ca phe voi nhan xo,Dak Lak,5/24/2007,26300
Ca phe voi nhan xo,Dak Lak,5/25/2007,26500
Ca phe voi nhan xo,Dak Lak,5/28/2007,26600
Ca phe voi nhan xo,Dak Lak,5/29/2007,26700
Ca phe voi nhan xo,Dak Lak,5/30/2007,26700
Ca phe voi nhan xo,Dak Lak,5/31/2007,26700
Ca phe voi nhan xo,Dak Lak,6/1/2007,26400
Ca phe voi nhan xo,Dak Lak,6/4/2007,27200
Ca phe voi nhan xo,Dak Lak,6/5/2007,27200
Ca phe voi nhan xo,Dak Lak,6/6/2007,27400
Ca phe voi nhan xo,Dak Lak,6/7/2007,27900
Ca phe voi nhan xo,Dak Lak,6/8/2007,28300
Ca phe voi nhan xo,Dak Lak,6/11/2007,28200
Ca phe voi nhan xo,Dak Lak,6/12/2007,28700
Ca phe voi nhan xo,Dak Lak,6/13/2007,28300
Ca phe voi nhan xo,Dak Lak,6/14/2007,28600
Ca phe voi nhan xo,Dak Lak,6/15/2007,28200
Ca phe voi nhan xo,Dak Lak,6/18/2007,28400
Ca phe voi nhan xo,Dak Lak,6/19/2007,28400
Ca phe voi nhan xo,Dak Lak,6/20/2007,28500
Ca phe voi nhan xo,Dak Lak,6/22/2007,29100
Ca phe voi nhan xo,Dak Lak,6/25/2007,28900
Ca phe voi nhan xo,Dak Lak,6/26/2007,28600
Ca phe voi nhan xo,Dak Lak,6/27/2007,28700
Ca phe voi nhan xo,Dak Lak,6/28/2007,28400
Ca phe voi nhan xo,Dak Lak,6/29/2007,28500
Ca phe voi nhan xo,Dak Lak,7/2/2007,28600
Ca phe voi nhan xo,Dak Lak,7/3/2007,28900
Ca phe voi nhan xo,Dak Lak,7/4/2007,28700
Ca phe voi nhan xo,Dak Lak,7/5/2007,29000
Ca phe voi nhan xo,Dak Lak,7/6/2007,29100
Ca phe voi nhan xo,Dak Lak,7/9/2007,28800
Ca phe voi nhan xo,Dak Lak,7/10/2007,28800
Ca phe voi nhan xo,Dak Lak,7/11/2007,29100
Ca phe voi nhan xo,Dak Lak,7/12/2007,29000
Ca phe voi nhan xo,Dak Lak,7/13/2007,28500
Ca phe voi nhan xo,Dak Lak,7/16/2007,27500
Ca phe voi nhan xo,Dak Lak,7/17/2007,27600
Ca phe voi nhan xo,Dak Lak,7/18/2007,27700
Ca phe voi nhan xo,Dak Lak,7/19/2007,28000
Ca phe voi nhan xo,Dak Lak,7/20/2007,28300
Ca phe voi nhan xo,Dak Lak,7/23/2007,28300
Ca phe voi nhan xo,Dak Lak,7/24/2007,28000
Ca phe voi nhan xo,Dak Lak,7/25/2007,27900
Ca phe voi nhan xo,Dak Lak,7/26/2007,27800
Ca phe voi nhan xo,Dak Lak,7/27/2007,27200
Ca phe voi nhan xo,Dak Lak,7/30/2007,27000
Ca phe voi nhan xo,Dak Lak,7/31/2007,27500
Ca phe voi nhan xo,Dak Lak,8/1/2007,27600
Ca phe voi nhan xo,Dak Lak,8/2/2007,27200
Ca phe voi nhan xo,Dak Lak,8/3/2007,27400
Ca phe voi nhan xo,Dak Lak,8/6/2007,27500
Ca phe voi nhan xo,Dak Lak,8/7/2007,27400
Ca phe voi nhan xo,Dak Lak,8/8/2007,27400
Ca phe voi nhan xo,Dak Lak,8/9/2007,27500
Ca phe voi nhan xo,Dak Lak,8/10/2007,27300
Ca phe voi nhan xo,Dak Lak,8/13/2007,27000
Ca phe voi nhan xo,Dak Lak,8/14/2007,27200
Ca phe voi nhan xo,Dak Lak,8/15/2007,26700
Ca phe voi nhan xo,Dak Lak,8/16/2007,26100
Ca phe voi nhan xo,Dak Lak,8/17/2007,25000
Ca phe voi nhan xo,Dak Lak,8/20/2007,25000
Ca phe voi nhan xo,Dak Lak,8/21/2007,25100
Ca phe voi nhan xo,Dak Lak,8/22/2007,25100
Ca phe voi nhan xo,Dak Lak,8/23/2007,25000
Ca phe voi nhan xo,Dak Lak,8/24/2007,25100
Ca phe voi nhan xo,Dak Lak,8/27/2007,25100
Ca phe voi nhan xo,Dak Lak,8/28/2007,25200
Ca phe voi nhan xo,Dak Lak,8/29/2007,25100
Ca phe voi nhan xo,Dak Lak,8/30/2007,25200
Ca phe voi nhan xo,Dak Lak,8/31/2007,25200
Ca phe voi nhan xo,Dak Lak,9/4/2007,25900
Ca phe voi nhan xo,Dak Lak,9/5/2007,26200
Ca phe voi nhan xo,Dak Lak,9/6/2007,26000
Ca phe voi nhan xo,Dak Lak,9/7/2007,26400
Ca phe voi nhan xo,Dak Lak,9/10/2007,26700
Ca phe voi nhan xo,Dak Lak,9/11/2007,27500
Ca phe voi nhan xo,Dak Lak,9/12/2007,27600
Ca phe voi nhan xo,Dak Lak,9/13/2007,27500
Ca phe voi nhan xo,Dak Lak,9/14/2007,27000
Ca phe voi nhan xo,Dak Lak,9/17/2007,27300
Ca phe voi nhan xo,Dak Lak,9/18/2007,27400
Ca phe voi nhan xo,Dak Lak,9/19/2007,26900
Ca phe voi nhan xo,Dak Lak,9/20/2007,26900
Ca phe voi nhan xo,Dak Lak,9/21/2007,26700
Ca phe voi nhan xo,Dak Lak,9/24/2007,26200
Ca phe voi nhan xo,Dak Lak,9/25/2007,26300
Ca phe voi nhan xo,Dak Lak,9/26/2007,26400
Ca phe voi nhan xo,Dak Lak,9/27/2007,26000
Ca phe voi nhan xo,Dak Lak,9/28/2007,26000
Ca phe voi nhan xo,Dak Lak,10/1/2007,26100
Ca phe voi nhan xo,Dak Lak,10/2/2007,26400
Ca phe voi nhan xo,Dak Lak,10/3/2007,26300
Ca phe voi nhan xo,Dak Lak,10/4/2007,26400
Ca phe voi nhan xo,Dak Lak,10/5/2007,26300
Ca phe voi nhan xo,Dak Lak,10/8/2007,26200
Ca phe voi nhan xo,Dak Lak,10/9/2007,26300
Ca phe voi nhan xo,Dak Lak,10/10/2007,26100
Ca phe voi nhan xo,Dak Lak,10/11/2007,26100
Ca phe voi nhan xo,Dak Lak,10/12/2007,26300
Ca phe voi nhan xo,Dak Lak,10/15/2007,26500
Ca phe voi nhan xo,Dak Lak,10/16/2007,25700
Ca phe voi nhan xo,Dak Lak,10/17/2007,25200
Ca phe voi nhan xo,Dak Lak,10/18/2007,25600
Ca phe voi nhan xo,Dak Lak,10/19/2007,25400
Ca phe voi nhan xo,Dak Lak,10/22/2007,25500
Ca phe voi nhan xo,Dak Lak,10/23/2007,25400
Ca phe voi nhan xo,Dak Lak,10/24/2007,25500
Ca phe voi nhan xo,Dak Lak,10/25/2007,25600
Ca phe voi nhan xo,Dak Lak,10/26/2007,25600
Ca phe voi nhan xo,Dak Lak,10/29/2007,25900
Ca phe voi nhan xo,Dak Lak,10/30/2007,26200
Ca phe voi nhan xo,Dak Lak,10/31/2007,26400
Ca phe voi nhan xo,Dak Lak,11/1/2007,26800
Ca phe voi nhan xo,Dak Lak,11/2/2007,27300
Ca phe voi nhan xo,Dak Lak,11/5/2007,27200
Ca phe voi nhan xo,Dak Lak,11/6/2007,27300
Ca phe voi nhan xo,Dak Lak,11/7/2007,27500
Ca phe voi nhan xo,Dak Lak,11/8/2007,27500
Ca phe voi nhan xo,Dak Lak,11/9/2007,27200
Ca phe voi nhan xo,Dak Lak,11/12/2007,27200
Ca phe voi nhan xo,Dak Lak,11/13/2007,26900
Ca phe voi nhan xo,Dak Lak,11/14/2007,27000
Ca phe voi nhan xo,Dak Lak,11/15/2007,27200
Ca phe voi nhan xo,Dak Lak,11/16/2007,27100
Ca phe voi nhan xo,Dak Lak,11/19/2007,27100
Ca phe voi nhan xo,Dak Lak,11/21/2007,26400
Ca phe voi nhan xo,Dak Lak,11/22/2007,26500
Ca phe voi nhan xo,Dak Lak,11/23/2007,26500
Ca phe voi nhan xo,Dak Lak,11/26/2007,26700
Ca phe voi nhan xo,Dak Lak,11/27/2007,26400
Ca phe voi nhan xo,Dak Lak,11/28/2007,26200
Ca phe voi nhan xo,Dak Lak,11/29/2007,26400
Ca phe voi nhan xo,Dak Lak,11/30/2007,26600
Ca phe voi nhan xo,Dak Lak,12/3/2007,26400
Ca phe voi nhan xo,Dak Lak,12/4/2007,25900
Ca phe voi nhan xo,Dak Lak,12/5/2007,25900
Ca phe voi nhan xo,Dak Lak,12/6/2007,26300
Ca phe voi nhan xo,Dak Lak,12/7/2007,26200
Ca phe voi nhan xo,Dak Lak,12/10/2007,26600
Ca phe voi nhan xo,Dak Lak,12/11/2007,27000
Ca phe voi nhan xo,Dak Lak,12/12/2007,27200
Ca phe voi nhan xo,Dak Lak,12/13/2007,27200
Ca phe voi nhan xo,Dak Lak,12/14/2007,27200
Ca phe voi nhan xo,Dak Lak,12/17/2007,27200
Ca phe voi nhan xo,Dak Lak,12/18/2007,27400
Ca phe voi nhan xo,Dak Lak,12/19/2007,27500
Ca phe voi nhan xo,Dak Lak,12/20/2007,27300
Ca phe voi nhan xo,Dak Lak,12/21/2007,27400
Ca phe voi nhan xo,Dak Lak,12/24/2007,27500
Ca phe voi nhan xo,Dak Lak,12/25/2007,27700
Ca phe voi nhan xo,Dak Lak,12/26/2007,28000
Ca phe voi nhan xo,Dak Lak,12/27/2007,27900
Ca phe voi nhan xo,Dak Lak,12/28/2007,27500
Ca phe voi nhan xo,Dak Lak,12/31/2007,27800
Ca phe voi nhan xo,Dak Lak,1/2/2008,28000
Ca phe voi nhan xo,Dak Lak,1/3/2008,28500
Ca phe voi nhan xo,Dak Lak,1/4/2008,28600
Ca phe voi nhan xo,Dak Lak,1/7/2008,28800
Ca phe voi nhan xo,Dak Lak,1/8/2008,29000
Ca phe voi nhan xo,Dak Lak,1/9/2008,29400
Ca phe voi nhan xo,Dak Lak,1/10/2008,29700
Ca phe voi nhan xo,Dak Lak,1/11/2008,30400
Ca phe voi nhan xo,Dak Lak,1/14/2008,30800
Ca phe voi nhan xo,Dak Lak,1/15/2008,30800
Ca phe voi nhan xo,Dak Lak,1/16/2008,30600
Ca phe voi nhan xo,Dak Lak,1/17/2008,30600
Ca phe voi nhan xo,Dak Lak,1/18/2008,30500
Ca phe voi nhan xo,Dak Lak,1/21/2008,30500
Ca phe voi nhan xo,Dak Lak,1/23/2008,30900
Ca phe voi nhan xo,Dak Lak,1/24/2008,30700
Ca phe voi nhan xo,Dak Lak,1/25/2008,30700
Ca phe voi nhan xo,Dak Lak,1/28/2008,30500
Ca phe voi nhan xo,Dak Lak,1/29/2008,30900
Ca phe voi nhan xo,Dak Lak,1/30/2008,31100
Ca phe voi nhan xo,Dak Lak,1/31/2008,31300
Ca phe voi nhan xo,Dak Lak,2/1/2008,31300
Ca phe voi nhan xo,Dak Lak,2/4/2008,31500
Ca phe voi nhan xo,Dak Lak,2/5/2008,31500
Ca phe voi nhan xo,Dak Lak,2/12/2008,32900
Ca phe voi nhan xo,Dak Lak,2/13/2008,32600
Ca phe voi nhan xo,Dak Lak,2/14/2008,33200
Ca phe voi nhan xo,Dak Lak,2/15/2008,34500
Ca phe voi nhan xo,Dak Lak,2/18/2008,34900
Ca phe voi nhan xo,Dak Lak,2/19/2008,34100
Ca phe voi nhan xo,Dak Lak,2/20/2008,35500
Ca phe voi nhan xo,Dak Lak,2/21/2008,35600
Ca phe voi nhan xo,Dak Lak,2/22/2008,36200
Ca phe voi nhan xo,Dak Lak,2/25/2008,37000
Ca phe voi nhan xo,Dak Lak,2/26/2008,38100
Ca phe voi nhan xo,Dak Lak,2/27/2008,38000
Ca phe voi nhan xo,Dak Lak,2/28/2008,39000
Ca phe voi nhan xo,Dak Lak,2/29/2008,40000
Ca phe voi nhan xo,Dak Lak,3/3/2008,40050
Ca phe voi nhan xo,Dak Lak,3/4/2008,39500
Ca phe voi nhan xo,Dak Lak,3/5/2008,39600
Ca phe voi nhan xo,Dak Lak,3/6/2008,39500
Ca phe voi nhan xo,Dak Lak,3/7/2008,37250
Ca phe voi nhan xo,Dak Lak,3/10/2008,35200
Ca phe voi nhan xo,Dak Lak,3/11/2008,35500
Ca phe voi nhan xo,Dak Lak,3/12/2008,36400
Ca phe voi nhan xo,Dak Lak,3/13/2008,37500
Ca phe voi nhan xo,Dak Lak,3/14/2008,39200
Ca phe voi nhan xo,Dak Lak,3/17/2008,37500
Ca phe voi nhan xo,Dak Lak,3/18/2008,34800
Ca phe voi nhan xo,Dak Lak,3/19/2008,35000
Ca phe voi nhan xo,Dak Lak,3/20/2008,34000
Ca phe voi nhan xo,Dak Lak,3/21/2008,32500
Ca phe voi nhan xo,Dak Lak,3/24/2008,32500
Ca phe voi nhan xo,Dak Lak,3/25/2008,32500
Ca phe voi nhan xo,Dak Lak,3/26/2008,33800
Ca phe voi nhan xo,Dak Lak,3/27/2008,32800
Ca phe voi nhan xo,Dak Lak,3/28/2008,33800
Ca phe voi nhan xo,Dak Lak,3/31/2008,33000
Ca phe voi nhan xo,Dak Lak,4/1/2008,33000
Ca phe voi nhan xo,Dak Lak,4/2/2008,32900
Ca phe voi nhan xo,Dak Lak,4/3/2008,32400
Ca phe voi nhan xo,Dak Lak,4/4/2008,32600
Ca phe voi nhan xo,Dak Lak,4/7/2008,32600
Ca phe voi nhan xo,Dak Lak,4/8/2008,32600
Ca phe voi nhan xo,Dak Lak,4/9/2008,32500
Ca phe voi nhan xo,Dak Lak,4/10/2008,33100
Ca phe voi nhan xo,Dak Lak,4/11/2008,33000
Ca phe voi nhan xo,Dak Lak,4/16/2008,33700
Ca phe voi nhan xo,Dak Lak,4/17/2008,3380
Ca phe voi nhan xo,Dak Lak,4/18/2008,34500
Ca phe voi nhan xo,Dak Lak,4/21/2008,33600
Ca phe voi nhan xo,Dak Lak,4/22/2008,33300
Ca phe voi nhan xo,Dak Lak,4/23/2008,34100
Ca phe voi nhan xo,Dak Lak,4/24/2008,33500
Ca phe voi nhan xo,Dak Lak,4/25/2008,33350
Ca phe voi nhan xo,Dak Lak,4/28/2008,32900
Ca phe voi nhan xo,Dak Lak,4/29/2008,33500
Ca phe voi nhan xo,Dak Lak,5/2/2008,31600
Ca phe voi nhan xo,Dak Lak,5/5/2008,31500
Ca phe voi nhan xo,Dak Lak,5/6/2008,31600
Ca phe voi nhan xo,Dak Lak,5/7/2008,31700
Ca phe voi nhan xo,Dak Lak,5/8/2008,31500
Ca phe voi nhan xo,Dak Lak,5/9/2008,32000
Ca phe voi nhan xo,Dak Lak,5/12/2008,33000
Ca phe voi nhan xo,Dak Lak,5/13/2008,33150
Ca phe voi nhan xo,Dak Lak,5/14/2008,33300
Ca phe voi nhan xo,Dak Lak,5/15/2008,33000
Ca phe voi nhan xo,Dak Lak,5/16/2008,33100
Ca phe voi nhan xo,Dak Lak,5/19/2008,33500
Ca phe voi nhan xo,Dak Lak,5/20/2008,33400
Ca phe voi nhan xo,Dak Lak,5/21/2008,33600
Ca phe voi nhan xo,Dak Lak,5/22/2008,33800
Ca phe voi nhan xo,Dak Lak,5/23/2008,32850
Ca phe voi nhan xo,Dak Lak,5/26/2008,33000
Ca phe voi nhan xo,Dak Lak,5/27/2008,33100
Ca phe voi nhan xo,Dak Lak,5/28/2008,33000
Ca phe voi nhan xo,Dak Lak,5/29/2008,33700
Ca phe voi nhan xo,Dak Lak,5/30/2008,33300
Ca phe voi nhan xo,Dak Lak,6/2/2008,33700
