,Tên_mặt_hàng,Thị_trường,Ngày,Giá
0,Gạo thường|Rice,An Giang,2007-03-08,4800
48,Gạo thường|Rice,An Giang,2007-05-25,4850
49,Gạo thường|Rice,An Giang,2007-05-28,4850
50,Gạo thường|Rice,An Giang,2007-05-29,4850
51,Gạo thường|Rice,An Giang,2007-05-30,4850
52,Gạo thường|Rice,An Giang,2007-05-31,4850
53,Gạo thường|Rice,An Giang,2007-06-01,4850
54,Gạo thường|Rice,An Giang,2007-06-04,4850
55,Gạo thường|Rice,An Giang,2007-06-05,4850
56,Gạo thường|Rice,An Giang,2007-06-06,4850
57,Gạo thường|Rice,An Giang,2007-06-07,4850
58,Gạo thường|Rice,An Giang,2007-06-08,4850
59,Gạo thường|Rice,An Giang,2007-06-11,4850
60,Gạo thường|Rice,An Giang,2007-06-12,4850
61,Gạo thường|Rice,An Giang,2007-06-13,4850
62,Gạo thường|Rice,An Giang,2007-06-14,4850
63,Gạo thường|Rice,An Giang,2007-06-15,4850
64,Gạo thường|Rice,An Giang,2007-06-18,4850
65,Gạo thường|Rice,An Giang,2007-06-19,4850
66,Gạo thường|Rice,An Giang,2007-06-20,4850
67,Gạo thường|Rice,An Giang,2007-06-21,4850
68,Gạo thường|Rice,An Giang,2007-06-22,5100
69,Gạo thường|Rice,An Giang,2007-06-25,5100
70,Gạo thường|Rice,An Giang,2007-06-26,5100
71,Gạo thường|Rice,An Giang,2007-06-27,5100
72,Gạo thường|Rice,An Giang,2007-06-28,4850
73,Gạo thường|Rice,An Giang,2007-06-29,5100
74,Gạo thường|Rice,An Giang,2007-07-02,5100
75,Gạo thường|Rice,An Giang,2007-07-03,5100
76,Gạo thường|Rice,An Giang,2007-07-04,5100
77,Gạo thường|Rice,An Giang,2007-07-05,5100
78,Gạo thường|Rice,An Giang,2007-07-06,5100
79,Gạo thường|Rice,An Giang,2007-07-10,5100
80,Gạo thường|Rice,An Giang,2007-07-11,5100
81,Gạo thường|Rice,An Giang,2007-07-12,5100
82,Gạo thường|Rice,An Giang,2007-07-13,5100
83,Gạo thường|Rice,An Giang,2007-07-16,5100
84,Gạo thường|Rice,An Giang,2007-07-17,5100
85,Gạo thường|Rice,An Giang,2007-07-18,5100
86,Gạo thường|Rice,An Giang,2007-07-19,5100
87,Gạo thường|Rice,An Giang,2007-07-20,5100
88,Gạo thường|Rice,An Giang,2007-07-23,5100
89,Gạo thường|Rice,An Giang,2007-07-24,5100
90,Gạo thường|Rice,An Giang,2007-07-25,5100
91,Gạo thường|Rice,An Giang,2007-07-26,5100
92,Gạo thường|Rice,An Giang,2007-07-27,5100
93,Gạo thường|Rice,An Giang,2007-07-30,5100
94,Gạo thường|Rice,An Giang,2007-07-31,5100
95,Gạo thường|Rice,An Giang,2007-08-01,5100
96,Gạo thường|Rice,An Giang,2007-08-02,5100
97,Gạo thường|Rice,An Giang,2007-08-03,5100
98,Gạo thường|Rice,An Giang,2007-08-07,5100
99,Gạo thường|Rice,An Giang,2007-08-08,5100
100,Gạo thường|Rice,An Giang,2007-08-10,5100
101,Gạo thường|Rice,An Giang,2007-08-13,5100
102,Gạo thường|Rice,An Giang,2007-08-14,5100
103,Gạo thường|Rice,An Giang,2007-08-15,5100
104,Gạo thường|Rice,An Giang,2007-08-16,5100
105,Gạo thường|Rice,An Giang,2007-08-17,5100
106,Gạo thường|Rice,An Giang,2007-08-20,5100
107,Gạo thường|Rice,An Giang,2007-08-21,5100
108,Gạo thường|Rice,An Giang,2007-08-22,5100
109,Gạo thường|Rice,An Giang,2007-08-23,5100
110,Gạo thường|Rice,An Giang,2007-08-24,5100
111,Gạo thường|Rice,An Giang,2007-08-28,5100
112,Gạo thường|Rice,An Giang,2007-08-29,5100
113,Gạo thường|Rice,An Giang,2007-08-30,5100
114,Gạo thường|Rice,An Giang,2007-08-31,5100
115,Gạo thường|Rice,An Giang,2007-09-04,5100
116,Gạo thường|Rice,An Giang,2007-09-05,5100
117,Gạo thường|Rice,An Giang,2007-09-06,5100
118,Gạo thường|Rice,An Giang,2007-09-07,5350
119,Gạo thường|Rice,An Giang,2007-09-10,5350
120,Gạo thường|Rice,An Giang,2007-09-11,5350
121,Gạo thường|Rice,An Giang,2007-09-12,5350
122,Gạo thường|Rice,An Giang,2007-09-13,5350
123,Gạo thường|Rice,An Giang,2007-09-14,5350
124,Gạo thường|Rice,An Giang,2007-09-17,5350
125,Gạo thường|Rice,An Giang,2007-09-18,5350
126,Gạo thường|Rice,An Giang,2007-09-19,5350
127,Gạo thường|Rice,An Giang,2007-09-20,5350
128,Gạo thường|Rice,An Giang,2007-09-21,5750
129,Gạo thường|Rice,An Giang,2007-09-24,5750
130,Gạo thường|Rice,An Giang,2007-09-25,5750
131,Gạo thường|Rice,An Giang,2007-09-26,5750
132,Gạo thường|Rice,An Giang,2007-09-27,5750
133,Gạo thường|Rice,An Giang,2007-09-28,5750
134,Gạo thường|Rice,An Giang,2007-10-01,5750
135,Gạo thường|Rice,An Giang,2007-10-02,5750
136,Gạo thường|Rice,An Giang,2007-10-03,5750
137,Gạo thường|Rice,An Giang,2007-10-04,5750
138,Gạo thường|Rice,An Giang,2007-10-05,5750
139,Gạo thường|Rice,An Giang,2007-10-08,5750
140,Gạo thường|Rice,An Giang,2007-10-09,5750
141,Gạo thường|Rice,An Giang,2007-10-10,5750
142,Gạo thường|Rice,An Giang,2007-10-12,5750
143,Gạo thường|Rice,An Giang,2007-10-15,5750
144,Gạo thường|Rice,An Giang,2007-10-16,5750
145,Gạo thường|Rice,An Giang,2007-10-17,5750
146,Gạo thường|Rice,An Giang,2007-10-18,5750
147,Gạo thường|Rice,An Giang,2007-10-19,5750
148,Gạo thường|Rice,An Giang,2007-10-22,5750
149,Gạo thường|Rice,An Giang,2007-10-23,5750
150,Gạo thường|Rice,An Giang,2007-10-25,5750
151,Gạo thường|Rice,An Giang,2007-10-26,5750
152,Gạo thường|Rice,An Giang,2007-10-29,5750
153,Gạo thường|Rice,An Giang,2007-10-31,5750
154,Gạo thường|Rice,An Giang,2007-11-01,5750
155,Gạo thường|Rice,An Giang,2007-11-02,5750
156,Gạo thường|Rice,An Giang,2007-11-05,5750
157,Gạo thường|Rice,An Giang,2007-11-06,5750
158,Gạo thường|Rice,An Giang,2007-11-07,5750
159,Gạo thường|Rice,An Giang,2007-11-08,5750
160,Gạo thường|Rice,An Giang,2007-11-09,5750
161,Gạo thường|Rice,An Giang,2007-11-12,5750
162,Gạo thường|Rice,An Giang,2007-11-14,5750
163,Gạo thường|Rice,An Giang,2007-11-15,5750
164,Gạo thường|Rice,An Giang,2007-11-16,5750
165,Gạo thường|Rice,An Giang,2007-11-19,5750
166,Gạo thường|Rice,An Giang,2007-11-20,5750
167,Gạo thường|Rice,An Giang,2007-11-21,5750
168,Gạo thường|Rice,An Giang,2007-11-23,5750
169,Gạo thường|Rice,An Giang,2007-11-26,5750
170,Gạo thường|Rice,An Giang,2007-11-27,5750
171,Gạo thường|Rice,An Giang,2007-11-28,5900
172,Gạo thường|Rice,An Giang,2007-11-29,5900
173,Gạo thường|Rice,An Giang,2007-11-30,5900
174,Gạo thường|Rice,An Giang,2007-12-03,5900
175,Gạo thường|Rice,An Giang,2007-12-04,5900
176,Gạo thường|Rice,An Giang,2007-12-05,5900
177,Gạo thường|Rice,An Giang,2007-12-06,5900
178,Gạo thường|Rice,An Giang,2007-12-07,5900
179,Gạo thường|Rice,An Giang,2007-12-10,5900
180,Gạo thường|Rice,An Giang,2007-12-11,5900
181,Gạo thường|Rice,An Giang,2007-12-12,5900
182,Gạo thường|Rice,An Giang,2007-12-13,5900
183,Gạo thường|Rice,An Giang,2007-12-14,5900
184,Gạo thường|Rice,An Giang,2007-12-17,5900
185,Gạo thường|Rice,An Giang,2007-12-18,5900
186,Gạo thường|Rice,An Giang,2007-12-20,5900
187,Gạo thường|Rice,An Giang,2007-12-24,5900
188,Gạo thường|Rice,An Giang,2007-12-25,5900
189,Gạo thường|Rice,An Giang,2007-12-26,5900
190,Gạo thường|Rice,An Giang,2007-12-27,5900
191,Gạo thường|Rice,An Giang,2007-12-28,5900
192,Gạo thường|Rice,An Giang,2008-01-02,5900
193,Gạo thường|Rice,An Giang,2008-01-03,5900
194,Gạo thường|Rice,An Giang,2008-01-04,5900
195,Gạo thường|Rice,An Giang,2008-01-07,5900
196,Gạo thường|Rice,An Giang,2008-01-08,5900
197,Gạo thường|Rice,An Giang,2008-01-09,5900
198,Gạo thường|Rice,An Giang,2008-01-10,5900
199,Gạo thường|Rice,An Giang,2008-01-11,5900
200,Gạo thường|Rice,An Giang,2008-01-14,5900
201,Gạo thường|Rice,An Giang,2008-01-15,5900
202,Gạo thường|Rice,An Giang,2008-01-16,5900
203,Gạo thường|Rice,An Giang,2008-01-17,5900
204,Gạo thường|Rice,An Giang,2008-01-18,5900
205,Gạo thường|Rice,An Giang,2008-01-21,5900
206,Gạo thường|Rice,An Giang,2008-01-22,6250
207,Gạo thường|Rice,An Giang,2008-01-23,6250
208,Gạo thường|Rice,An Giang,2008-01-25,6250
209,Gạo thường|Rice,An Giang,2008-01-28,6250
210,Gạo thường|Rice,An Giang,2008-01-29,6250
211,Gạo thường|Rice,An Giang,2008-01-30,6250
212,Gạo thường|Rice,An Giang,2008-01-31,6250
213,Gạo thường|Rice,An Giang,2008-02-13,6250
214,Gạo thường|Rice,An Giang,2008-02-14,6250
215,Gạo thường|Rice,An Giang,2008-02-18,6250
216,Gạo thường|Rice,An Giang,2008-02-19,6350
217,Gạo thường|Rice,An Giang,2008-02-20,6350
218,Gạo thường|Rice,An Giang,2008-02-21,6350
219,Gạo thường|Rice,An Giang,2008-02-22,6350
220,Gạo thường|Rice,An Giang,2008-02-26,6350
221,Gạo thường|Rice,An Giang,2008-02-27,6350
222,Gạo thường|Rice,An Giang,2008-02-28,6350
223,Gạo thường|Rice,An Giang,2008-02-29,6350
224,Gạo thường|Rice,An Giang,2008-03-03,6350
225,Gạo thường|Rice,An Giang,2008-03-04,7750
226,Gạo thường|Rice,An Giang,2008-03-05,7750
227,Gạo thường|Rice,An Giang,2008-03-06,7750
228,Gạo thường|Rice,An Giang,2008-03-07,7750
229,Gạo thường|Rice,An Giang,2008-03-10,7750
230,Gạo thường|Rice,An Giang,2008-03-11,7750
231,Gạo thường|Rice,An Giang,2008-03-12,7750
232,Gạo thường|Rice,An Giang,2008-03-13,7750
233,Gạo thường|Rice,An Giang,2008-03-14,7750
234,Gạo thường|Rice,An Giang,2008-03-17,7750
235,Gạo thường|Rice,An Giang,2008-03-18,7750
236,Gạo thường|Rice,An Giang,2008-03-19,7750
237,Gạo thường|Rice,An Giang,2008-03-20,7750
238,Gạo thường|Rice,An Giang,2008-03-21,7750
239,Gạo thường|Rice,An Giang,2008-03-24,7750
240,Gạo thường|Rice,An Giang,2008-03-25,7750
241,Gạo thường|Rice,An Giang,2008-03-28,7750
242,Gạo thường|Rice,An Giang,2008-03-31,7750
243,Gạo thường|Rice,An Giang,2008-04-01,7750
244,Gạo thường|Rice,An Giang,2008-04-02,7650
245,Gạo thường|Rice,An Giang,2008-04-03,7650
246,Gạo thường|Rice,An Giang,2008-04-04,7650
247,Gạo thường|Rice,An Giang,2008-04-07,7650
248,Gạo thường|Rice,An Giang,2008-04-08,7650
249,Gạo thường|Rice,An Giang,2008-04-09,7650
250,Gạo thường|Rice,An Giang,2008-04-11,7650
251,Gạo thường|Rice,An Giang,2008-04-14,7500
252,Gạo thường|Rice,An Giang,2008-04-16,7650
253,Gạo thường|Rice,An Giang,2008-04-21,7800
254,Gạo thường|Rice,An Giang,2008-04-22,7650
255,Gạo thường|Rice,An Giang,2008-04-24,7650
256,Gạo thường|Rice,An Giang,2008-04-28,11750
257,Gạo thường|Rice,An Giang,2008-05-02,11300
258,Gạo thường|Rice,An Giang,2008-05-05,9500
259,Gạo thường|Rice,An Giang,2008-05-07,9500
260,Gạo thường|Rice,An Giang,2008-05-09,9500
261,Gạo thường|Rice,An Giang,2008-05-12,9250
262,Gạo thường|Rice,An Giang,2008-05-13,9250
263,Gạo thường|Rice,An Giang,2008-05-14,9250
264,Gạo thường|Rice,An Giang,2008-05-15,9375
265,Gạo thường|Rice,An Giang,2008-05-16,9250
266,Gạo thường|Rice,An Giang,2008-05-19,9250
267,Gạo thường|Rice,An Giang,2008-05-20,9250
268,Gạo thường|Rice,An Giang,2008-05-21,9250
269,Gạo thường|Rice,An Giang,2008-05-27,9250
270,Gạo thường|Rice,An Giang,2008-05-28,9250
271,Gạo thường|Rice,An Giang,2008-05-29,8900
272,Gạo thường|Rice,An Giang,2008-05-30,9100
273,Gạo thường|Rice,An Giang,2008-06-02,9100
274,Gạo thường|Rice,An Giang,2008-06-03,9100
275,Gạo thường|Rice,An Giang,2008-06-04,9100
276,Gạo thường|Rice,An Giang,2008-06-05,9100
277,Gạo thường|Rice,An Giang,2008-06-06,9100
278,Gạo thường|Rice,An Giang,2008-06-09,9050
279,Gạo thường|Rice,An Giang,2008-06-10,9100
280,Gạo thường|Rice,An Giang,2008-06-11,9100
281,Gạo thường|Rice,An Giang,2008-06-12,9100
282,Gạo thường|Rice,An Giang,2008-06-13,9100
283,Gạo thường|Rice,An Giang,2008-06-16,9100
284,Gạo thường|Rice,An Giang,2008-06-17,9100
285,Gạo thường|Rice,An Giang,2008-06-18,9100
286,Gạo thường|Rice,An Giang,2008-06-19,9100
287,Gạo thường|Rice,An Giang,2008-06-20,9100
288,Gạo thường|Rice,An Giang,2008-06-23,9100
289,Gạo thường|Rice,An Giang,2008-06-26,9100
290,Gạo thường|Rice,An Giang,2008-06-27,9100
291,Gạo thường|Rice,An Giang,2008-06-30,9100
292,Gạo thường|Rice,An Giang,2008-07-01,9100
293,Gạo thường|Rice,An Giang,2008-07-02,9100
294,Gạo thường|Rice,An Giang,2008-07-03,9100
295,Gạo thường|Rice,An Giang,2008-07-04,9100
296,Gạo thường|Rice,An Giang,2008-07-07,9100
297,Gạo thường|Rice,An Giang,2008-07-08,9100
298,Gạo thường|Rice,An Giang,2008-07-09,9100
299,Gạo thường|Rice,An Giang,2008-07-10,9100
300,Gạo thường|Rice,An Giang,2008-07-11,9100
301,Gạo thường|Rice,An Giang,2008-07-14,9100
302,Gạo thường|Rice,An Giang,2008-07-15,9100
303,Gạo thường|Rice,An Giang,2008-07-16,9100
304,Gạo thường|Rice,An Giang,2008-07-17,9100
305,Gạo thường|Rice,An Giang,2008-07-18,9100
306,Gạo thường|Rice,An Giang,2008-07-21,9100
307,Gạo thường|Rice,An Giang,2008-07-22,9100
308,Gạo thường|Rice,An Giang,2008-07-23,9100
309,Gạo thường|Rice,An Giang,2008-07-24,9100
310,Gạo thường|Rice,An Giang,2008-07-25,9100
311,Gạo thường|Rice,An Giang,2008-07-28,9100
312,Gạo thường|Rice,An Giang,2008-07-29,9100
313,Gạo thường|Rice,An Giang,2008-07-30,9100
314,Gạo thường|Rice,An Giang,2008-07-31,9100
315,Gạo thường|Rice,An Giang,2008-08-01,9100
316,Gạo thường|Rice,An Giang,2008-08-04,9100
317,Gạo thường|Rice,An Giang,2008-08-05,9100
318,Gạo thường|Rice,An Giang,2008-08-06,9100
319,Gạo thường|Rice,An Giang,2008-08-07,9100
320,Gạo thường|Rice,An Giang,2008-08-08,9100
321,Gạo thường|Rice,An Giang,2008-08-11,9100
322,Gạo thường|Rice,An Giang,2008-08-12,9100
323,Gạo thường|Rice,An Giang,2008-08-13,9100
324,Gạo thường|Rice,An Giang,2008-08-14,9100
325,Gạo thường|Rice,An Giang,2008-08-15,9100
326,Gạo thường|Rice,An Giang,2008-08-18,9100
327,Gạo thường|Rice,An Giang,2008-08-19,9100
328,Gạo thường|Rice,An Giang,2008-08-20,9100
329,Gạo thường|Rice,An Giang,2008-08-21,9100
330,Gạo thường|Rice,An Giang,2008-08-22,9100
331,Gạo thường|Rice,An Giang,2008-08-25,8550
332,Gạo thường|Rice,An Giang,2008-08-26,9100
333,Gạo thường|Rice,An Giang,2008-08-28,9100
334,Gạo thường|Rice,An Giang,2008-08-29,9100
335,Gạo thường|Rice,An Giang,2008-09-01,9100
336,Gạo thường|Rice,An Giang,2008-09-03,9100
337,Gạo thường|Rice,An Giang,2008-09-04,9100
338,Gạo thường|Rice,An Giang,2008-09-08,9100
339,Gạo thường|Rice,An Giang,2008-09-09,9100
340,Gạo thường|Rice,An Giang,2008-09-10,9100
341,Gạo thường|Rice,An Giang,2008-09-11,9100
342,Gạo thường|Rice,An Giang,2008-09-12,9100
343,Gạo thường|Rice,An Giang,2008-09-15,9100
344,Gạo thường|Rice,An Giang,2008-09-16,9100
345,Gạo thường|Rice,An Giang,2008-09-17,9100
346,Gạo thường|Rice,An Giang,2008-09-18,9100
347,Gạo thường|Rice,An Giang,2008-09-19,9100
348,Gạo thường|Rice,An Giang,2008-09-22,9100
349,Gạo thường|Rice,An Giang,2008-09-23,9100
350,Gạo thường|Rice,An Giang,2008-09-24,9100
351,Gạo thường|Rice,An Giang,2008-09-25,9100
352,Gạo thường|Rice,An Giang,2008-09-29,9100
353,Gạo thường|Rice,An Giang,2008-09-30,9100
354,Gạo thường|Rice,An Giang,2008-10-01,9100
355,Gạo thường|Rice,An Giang,2008-10-02,9100
356,Gạo thường|Rice,An Giang,2008-10-03,9100
357,Gạo thường|Rice,An Giang,2008-10-06,9100
358,Gạo thường|Rice,An Giang,2008-10-07,9100
359,Gạo thường|Rice,An Giang,2008-10-08,9100
360,Gạo thường|Rice,An Giang,2008-10-09,9100
361,Gạo thường|Rice,An Giang,2008-10-10,9100
362,Gạo thường|Rice,An Giang,2008-10-13,9100
363,Gạo thường|Rice,An Giang,2008-10-14,7500
364,Gạo thường|Rice,An Giang,2008-10-15,7500
365,Gạo thường|Rice,An Giang,2008-10-16,7500
366,Gạo thường|Rice,An Giang,2008-10-20,6500
367,Gạo thường|Rice,An Giang,2008-10-21,6500
368,Gạo thường|Rice,An Giang,2008-10-23,6500
369,Gạo thường|Rice,An Giang,2008-10-27,6250
370,Gạo thường|Rice,An Giang,2008-10-28,5750
371,Gạo thường|Rice,An Giang,2008-10-29,5750
372,Gạo thường|Rice,An Giang,2008-10-31,5750
373,Gạo thường|Rice,An Giang,2008-11-03,5750
374,Gạo thường|Rice,An Giang,2008-11-04,5750
375,Gạo thường|Rice,An Giang,2008-11-05,5750
376,Gạo thường|Rice,An Giang,2008-11-06,5250
377,Gạo thường|Rice,An Giang,2008-11-07,5250
378,Gạo thường|Rice,An Giang,2008-11-10,5250
379,Gạo thường|Rice,An Giang,2008-11-12,5250
380,Gạo thường|Rice,An Giang,2008-11-13,5250
381,Gạo thường|Rice,An Giang,2008-11-14,5150
382,Gạo thường|Rice,An Giang,2008-11-18,5150
383,Gạo thường|Rice,An Giang,2008-11-19,5150
384,Gạo thường|Rice,An Giang,2008-11-20,5150
385,Gạo thường|Rice,An Giang,2008-11-24,5000
386,Gạo thường|Rice,An Giang,2008-11-25,5000
387,Gạo thường|Rice,An Giang,2008-11-26,5000
388,Gạo thường|Rice,An Giang,2008-12-04,5250
389,Gạo thường|Rice,An Giang,2008-12-05,5250
390,Gạo thường|Rice,An Giang,2008-12-08,5250
391,Gạo thường|Rice,An Giang,2008-12-09,5250
392,Gạo thường|Rice,An Giang,2008-12-10,5250
393,Gạo thường|Rice,An Giang,2008-12-11,5750
394,Gạo thường|Rice,An Giang,2008-12-12,5750
395,Gạo thường|Rice,An Giang,2008-12-15,5750
396,Gạo thường|Rice,An Giang,2008-12-16,5750
397,Gạo thường|Rice,An Giang,2008-12-17,5750
398,Gạo thường|Rice,An Giang,2008-12-18,5750
399,Gạo thường|Rice,An Giang,2008-12-19,5750
400,Gạo thường|Rice,An Giang,2008-12-21,5750
401,Gạo thường|Rice,An Giang,2008-12-23,5250
402,Gạo thường|Rice,An Giang,2008-12-24,5750
403,Gạo thường|Rice,An Giang,2009-01-05,5750
404,Gạo thường|Rice,An Giang,2009-01-06,5750
405,Gạo thường|Rice,An Giang,2009-01-07,5750
406,Gạo thường|Rice,An Giang,2009-01-08,5750
407,Gạo thường|Rice,An Giang,2009-01-12,5750
408,Gạo thường|Rice,An Giang,2009-01-13,5750
409,Gạo thường|Rice,An Giang,2009-01-15,5750
410,Gạo thường|Rice,An Giang,2009-01-16,5750
411,Gạo thường|Rice,An Giang,2009-01-19,5750
412,Gạo thường|Rice,An Giang,2009-01-21,5750
413,Gạo thường|Rice,An Giang,2009-01-22,5750
414,Gạo thường|Rice,An Giang,2009-02-02,5750
415,Gạo thường|Rice,An Giang,2009-02-03,5750
416,Gạo thường|Rice,An Giang,2009-02-04,5750
417,Gạo thường|Rice,An Giang,2009-02-05,5750
418,Gạo thường|Rice,An Giang,2009-02-06,5750
419,Gạo thường|Rice,An Giang,2009-02-09,5750
420,Gạo thường|Rice,An Giang,2009-02-10,6250
421,Gạo thường|Rice,An Giang,2009-02-11,6250
422,Gạo thường|Rice,An Giang,2009-02-12,6250
423,Gạo thường|Rice,An Giang,2009-02-16,6500
424,Gạo thường|Rice,An Giang,2009-02-17,6500
425,Gạo thường|Rice,An Giang,2009-02-18,6500
426,Gạo thường|Rice,An Giang,2009-02-19,6500
427,Gạo thường|Rice,An Giang,2009-02-20,6500
428,Gạo thường|Rice,An Giang,2009-02-23,6500
429,Gạo thường|Rice,An Giang,2009-02-24,6500
430,Gạo thường|Rice,An Giang,2009-02-25,6500
431,Gạo thường|Rice,An Giang,2009-02-27,6750
432,Gạo thường|Rice,An Giang,2009-03-02,5750
433,Gạo thường|Rice,An Giang,2009-03-04,5750
434,Gạo thường|Rice,An Giang,2009-03-05,7250
435,Gạo thường|Rice,An Giang,2009-03-06,7250
436,Gạo thường|Rice,An Giang,2009-03-09,7250
437,Gạo thường|Rice,An Giang,2009-03-11,7000
438,Gạo thường|Rice,An Giang,2009-03-16,7000
439,Gạo thường|Rice,An Giang,2009-03-17,7000
440,Gạo thường|Rice,An Giang,2009-03-18,7000
441,Gạo thường|Rice,An Giang,2009-03-23,7000
442,Gạo thường|Rice,An Giang,2009-03-24,7250
443,Gạo thường|Rice,An Giang,2009-03-27,6750
444,Gạo thường|Rice,An Giang,2009-03-30,6750
445,Gạo thường|Rice,An Giang,2009-04-13,7000
446,Gạo thường|Rice,An Giang,2009-04-27,7000
447,Gạo thường|Rice,An Giang,2009-10-21,6250
448,Gạo thường|Rice,An Giang,2009-10-22,6250
449,Gạo thường|Rice,An Giang,2009-10-23,6250
450,Gạo thường|Rice,An Giang,2009-10-26,6250
451,Gạo thường|Rice,An Giang,2009-10-27,5900
452,Gạo thường|Rice,An Giang,2009-10-28,5900
453,Gạo thường|Rice,An Giang,2009-10-29,5750
454,Gạo thường|Rice,An Giang,2009-11-02,5750
455,Gạo thường|Rice,An Giang,2009-11-03,5750
456,Gạo thường|Rice,An Giang,2009-11-04,6400
457,Gạo thường|Rice,An Giang,2009-11-05,6400
458,Gạo thường|Rice,An Giang,2009-11-06,6400
459,Gạo thường|Rice,An Giang,2009-11-09,6400
460,Gạo thường|Rice,An Giang,2009-11-10,6400
461,Gạo thường|Rice,An Giang,2009-11-11,6400
462,Gạo thường|Rice,An Giang,2009-11-12,6400
463,Gạo thường|Rice,An Giang,2009-11-13,6400
464,Gạo thường|Rice,An Giang,2009-11-14,6400
465,Gạo thường|Rice,An Giang,2009-11-16,6750
466,Gạo thường|Rice,An Giang,2009-11-20,6750
467,Gạo thường|Rice,An Giang,2009-11-24,6750
468,Gạo thường|Rice,An Giang,2009-11-25,6750
469,Gạo thường|Rice,An Giang,2009-12-01,7750
470,Gạo thường|Rice,An Giang,2009-12-02,7750
471,Gạo thường|Rice,An Giang,2009-12-03,7750
472,Gạo thường|Rice,An Giang,2009-12-08,7750
473,Gạo thường|Rice,An Giang,2009-12-09,8250
474,Gạo thường|Rice,An Giang,2009-12-10,8250
475,Gạo thường|Rice,An Giang,2009-12-15,8750
476,Gạo thường|Rice,An Giang,2009-12-16,8750
477,Gạo thường|Rice,An Giang,2009-12-17,8750
478,Gạo thường|Rice,An Giang,2009-12-18,8750
479,Gạo thường|Rice,An Giang,2009-12-21,8750
480,Gạo thường|Rice,An Giang,2009-12-22,8250
481,Gạo thường|Rice,An Giang,2009-12-23,8250
482,Gạo thường|Rice,An Giang,2009-12-24,8250
483,Gạo thường|Rice,An Giang,2009-12-25,8250
484,Gạo thường|Rice,An Giang,2009-12-28,8250
485,Gạo thường|Rice,An Giang,2009-12-30,8250
486,Gạo thường|Rice,An Giang,2009-12-31,8250
487,Gạo thường|Rice,An Giang,2010-01-05,8250
488,Gạo thường|Rice,An Giang,2010-01-07,8250
489,Gạo thường|Rice,An Giang,2010-01-11,8250
490,Gạo thường|Rice,An Giang,2010-01-12,8250
491,Gạo thường|Rice,An Giang,2010-01-13,8250
492,Gạo thường|Rice,An Giang,2010-01-14,8250
493,Gạo thường|Rice,An Giang,2010-01-18,8500
494,Gạo thường|Rice,An Giang,2010-01-19,8500
495,Gạo thường|Rice,An Giang,2010-01-21,8250
